ref_id,ref
657,loc012252
658,loc008045
659,loc008467
660,loc001504.09
661,loc005966.03
662,loc012268.02
663,loc007890.01
664,loc008105.01
665,loc012278.03
666,loc007862.09
667,loc007890.14
668,loc005835.10
669,loc005835.08
670,loc012319.02
671,loc005835.09
672,loc013519
673,loc011683.01
674,loc008444.02
675,loc007890.15
676,loc008480.03
677,loc000085.14
678,loc000088.14
679,loc008073
680,loc008073.04
681,loc008073.01
682,loc008500.05
683,loc008500.03
684,loc008500.06
685,loc011699
686,loc008137
687,loc008073.05
688,loc008123.03
689,loc008500.04
690,loc008034.06
691,loc011693.02
692,loc011690
693,loc011692
694,loc011691
695,loc011689
696,loc011458.02
697,loc008560.04
698,loc007648.10
699,loc009227.08
700,loc007890.16
701,loc000076.15
702,loc007683.17
703,loc010298.09
704,loc007935.16
705,loc011688.02
706,loc008666.04
707,loc011457.02
708,loc011457.03
709,loc011457.04
710,loc007902.07
711,loc008116.04
712,loc007977.10
713,loc011456.03
714,loc007883.07
715,loc010681.02
716,loc010320.04
717,loc007594.03
718,loc008116.05
719,loc012284.03
720,loc008123.01
721,loc008167.06
722,loc007976.04
723,loc005628.08
724,loc007976.03
725,loc008167.07
726,loc007899.07
727,loc008500
